scenario_name,scenario_description,scenario_type,probability,factor_type,factor_id,shock_type,shock_value,shock_description
Scenario_1,CHF appreciation shock,stress,,fx_rate,16,parallel_shift_pct,-5%,CHF appreciates by 5% against EUR
Scenario_2,EUR depreciation shock,stress,,fx_rate,16,parallel_shift_pct,+10%,EUR depreciates by 10% against CHF
Scenario_3,Counterparty credit stress,stress,,rating,16.12,parallel_shift_bps,+200bps,Gov FR cpty rating downgraded by 2 notches
Scenario_4,CHF yield curve stress,stress,,yield_curve,16.12,parallel_shift_bps,+100bps,CHF yield curve shifts up by 1% (100 bps)
Scenario_5,Equity market stress,stress,,equity_index,16.32,multiplicative,0.8,Global equity index drops by 20% (0.8)
Scenario_6,Macroeconomic stress,stress,,macro_factor,16.37,parallel_shift_pct,-5%,Global macroeconomic indicator drops by 5%
Scenario_7,Counterparty credit stress (2),stress,,rating,16.21,parallel_shift_bps,+300bps,PK FED cpty rating downgraded by 3 notches
Scenario_8,CHF spread stress,stress,,spread_curve,16.12,parallel_shift_bps,+50bps,CHF spread curve shifts up by 0.5% (50 bps)
Scenario_9,FX rate stress (2),stress,,fx_rate,16,parallel_shift_pct,+8%,CHF appreciates by 8% against EUR
Scenario_10,Yield curve stress (2),stress,,yield_curve,16.12,parallel_shift_bps,+150bps,CHF yield curve shifts up by 1.5% (150 bps)
Scenario_11,Equity market stress (2),stress,,equity_index,16.32,multiplicative,0.6,Global equity index drops by 40% (0.6)
Scenario_12,Macroeconomic stress (2),stress,,macro_factor,16.37,parallel_shift_pct,-10%,Global macroeconomic indicator drops by 10%
